Tender_sizing_full-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Type,Syb-type,Spread,Page,Slot,photo_Xmm_without bleed,photo_Ymm_without bleed,photo_Xmm_with bleed,photo_Ymm_with bleed,photo_Width_mm,photo_Height_mm,full_bleed,captions allowed,captions_position,captions_Xmm_without bleed,captions_Ymm_without bleed,captions_Xmm_with bleed,captions_Ymm_with bleed,captions_Width_mm,captions_Height_mm,captions_Halignment,captions_Valignment,caption_font,caption_size_pt,caption_style,caption_letter_spacing,caption_line_spacing,functional_photo,functional_text,captions_color,bgColor,Aspect ratio,Orientation,Photo shape,"Bleed, mm",overlay_position,Page size
Standard,n.a,0,Right H,1,105,100,108,103,150,100,no,yes,below (10mm from photo),105,165,108,168,115,10,center,top,Mulish,22pt,Light,0,1.28,n.a,n.a,#231f20,#c2dbcc,03:02,horizontal,rectangle,3,,200×200mm
Standard,n.a,0,Right V,1,105,94,108,97,120,150,no,yes,below (8.2mm from photo),105,182,108,185,115,10,center,top,Mulish,22pt,Light,0,1.28,n.a,n.a,#231f20,#c2dbcc,03:04,vertical,rectangle,3,,200×200mm
Standard,n.a,1,Left H,1,94.3,77,97.3,80,150,100,no,no,,,,,,,,,,,,,,,n.a,n.a,,#9eb7e0,03:02,horizontal,rectangle,3,,200×200mm
Standard,n.a,1,Left V,1,95,81,98,84,107,135,no,no,,,,,,,,,,,,,,,n.a,n.a,,#9eb7e0,80:107,vertical,rectangle,3,,200×200mm
Standard,n.a,1,Right H,1,104.3,100,107.3,103,150,100,no,no,,,,,,,,,,,,,,,n.a,n.a,,#d94027,03:02,horizontal,rectangle,3,,200×200mm
Standard,n.a,1,Right V,1,105,100,108,103,120,160,no,no,,,,,,,,,,,,,,,n.a,n.a,,#d94027,03:04,vertical,rectangle,3,,200×200mm
Standard,n.a,2,Left H,1,75,53,78,56,120,80,no,no,,,,,,,,,,,,,,,n.a,n.a,,#efe7d3,03:02,horizontal,rectangle,3,below,200×200mm
Standard,n.a,2,Left H,2,114,147,117,150,120,80,no,no,,,,,,,,,,,,,,,n.a,n.a,,#efe7d3,03:02,horizontal,rectangle,3,below,200×200mm
Standard,n.a,2,Left V,1,52,62,55,65,74,99,no,no,,,,,,,,,,,,,,,n.a,n.a,,#efe7d3,03:04,vertical,rectangle,3,below,200×200mm
Standard,n.a,2,Left V,2,137.5,137.5,140.5,140.5,74,99,no,no,,,,,,,,,,,,,,,n.a,n.a,,#efe7d3,03:04,vertical,rectangle,3,below,200×200mm
Standard,n.a,2,Right S,1,105,100,108,103,200,200,no,no,,,,,,,,,,,,,,,n.a,n.a,,#efe7d3,03:02,square,rectangle,3,,200×200mm
Standard,n.a,3,Left H,1,95,100,98,103,150,100,no,yes,below (10mm from photo),95,165,98,168,115,10,center,top,Mulish,22pt,Light,0,1.28,n.a,n.a,#d94027,#f2c7de,03:02,horizontal,rectangle,3,,200×200mm
