Map_Coordinates_upd;;;;;
Country;Map;X (mm), without bleed;Y (mm), without bleed;X (mm), with bleed;Y (mm), with bleed;German name
Iceland;EU;32;17;35;20;Island
Norway;EU;85;47;88;50;Norwegen
Sweden;EU;104;39;107;42;Schweden
Finland;EU;129;35;132;38;Finnland
Denmark;EU;86;77;89;80;Dänemark
United Kingdom;EU;50;76;53;79;Vereinigtes Königreich
Ireland;EU;33;81;36;84;Irland
Netherlands;EU;75;93;78;96;Niederlande
Belgium;EU;68;101;71;104;Belgien
Luxembourg;EU;74;109;77;112;Luxemburg
Germany;EU;96;99;99;102;Deutschland
France;EU;57;115;60;118;Frankreich
Switzerland;EU;79;123;82;126;Schweiz
Austria;EU;100;120;103;123;Österreich
Czechia;EU;100;109;103;112;Tschechien
Slovakia;EU;125;114;128;117;Slowakei
Poland;EU;114;93;117;96;Polen
Hungary;EU;127;120;130;123;Ungarn
Slovenia;EU;108;128;111;131;Slowenien
Croatia;EU;110;134;113;137;Kroatien
Bosnia and Herzegovina;EU;116;137;119;140;Bosnien und Herzegowina
Serbia;EU;122;136;125;139;Serbien
Montenegro;EU;122;150;125;153;Montenegro
Kosovo;EU;126;147;129;150;Kosovo
North Macedonia;EU;131;152;134;155;Nordmazedonien
Albania;EU;124;155;127;158;Albanien
Romania;EU;138;125;141;128;Rumänien
Moldova;EU;145;117;148;120;Republik Moldau
Bulgaria;EU;152;143;155;146;Bulgarien
Ukraine;EU;164;101;167;104;Ukraine
Belarus;EU;140;85;143;88;Belarus
Estonia;EU;134;59;137;62;Estland
Latvia;EU;136;69;139;72;Lettland
Lithuania;EU;122;79;125;82;Litauen
Portugal;EU;14;153;17;156;Portugal
Spain;EU;27;153;30;156;Spanien
Italy;EU;89;136;92;139;Italien
Greece;EU;133;160;136;163;Griechenland
Turkey;EU;166;156;169;159;Türkei
Cyprus;EU;184;177;187;180;Zypern
Russia;Asia;103;32;106;35;Russland
Kazakhstan;Asia;73;55;76;58;Kasachstan
Mongolia;Asia;121;61;124;64;Mongolei
Georgia;Asia;33;51;36;54;Georgien
Armenia;Asia;32;54;35;57;Armenien
Azerbaijan;Asia;36;54;39;57;Aserbaidschan
Syria;Asia;18;65;21;68;Syrien
Lebanon;Asia;14;67;17;70;Libanon
Israel;Asia;14;74;17;77;Israel
Jordan;Asia;17;75;20;78;Jordanien
Iraq;Asia;27;70;30;73;Irak
Saudi Arabia;Asia;22;95;25;98;Saudi-Arabien
Yemen;Asia;33;120;36;123;Jemen
Oman;Asia;53;109;56;112;Oman
UAE;Asia;51;104;54;107;Vereinigte Arabische Emirate
Kuwait;Asia;34;89;37;92;Kuwait
Qatar;Asia;41;100;44;103;Katar
Bahrain;Asia;39;98;42;101;Bahrain
Iran;Asia;46;76;49;79;Iran
Uzbekistan;Asia;58;64;61;67;Usbekistan
Turkmenistan;Asia;53;71;56;74;Turkmenistan
Kyrgyzstan;Asia;80;68;83;71;Kirgisistan
Tajikistan;Asia;72;73;75;76;Tadschikistan
Afganistan;Asia;67;80;70;83;Afghanistan
Pakistan;Asia;79;91;82;94;Pakistan
India;Asia;86;102;89;105;Indien
Sri Lanka;Asia;87;138;90;141;Sri Lanka
China;Asia;126;80;129;83;China
Nepal;Asia;94;95;97;98;Nepal
