Type;Syb-type;Spread;Page;Slot;photo_Xmm_without bleed;photo_Ymm_without bleed;photo_Xmm_with bleed;photo_Ymm_with bleed;photo_Width_mm;photo_Height_mm;full_bleed;captions allowed;captions_position;captions_Xmm_without bleed;captions_Ymm_without bleed;captions_Xmm_with bleed;captions_Ymm_with bleed;captions_Width_mm;captions_Height_mm;captions_Halignment;captions_Valignment;caption_font;caption_size_pt;caption_style;caption_letter_spacing;caption_line_spacing;functional_photo;functional_text;captions_color;bgColor;Aspect ratio;Photo shape;Orientation;Bleed, mm;Page size
Standard;n.a;0;Right H;1;105;70;108;73;150;100;no;yes;below (50mm from photo);105;176.5;108;179.5;100;13;center;top;Baskervville;18pt;Italic;-0.02;1.28;n.a;n.a;#262262;#ffffff;03:02;rectangle;horizontal;3;200×200mm
Standard;n.a;0;Right V;1;85;100;88;103;120;160;no;yes;upper right (5mm from photo);170;40;173;43;40;40;left;top;Baskervville;18pt;Italic;-0.02;1.28;n.a;n.a;#262262;#ffffff;03:04;rectangle;vertical;3;200×200mm
Standard;n.a;1;Left H;1;95;100;98;103;150;100;no;yes;below (10mm from photo);95;166.5;98;169.5;100;13;center;top;Baskervville;18pt;Italic;-0.02;1.28;n.a;n.a;#262262;#ffffff;03:02;rectangle;horizontal;3;200×200mm
Standard;n.a;1;Left V;1;95;90;98;93;120;160;no;yes;below (5mm from photo);95;181.5;98;184.5;100;13;center;top;Baskervville;18pt;Italic;-0.02;1.28;n.a;n.a;#262262;#ffffff;03:04;rectangle;vertical;3;200×200mm
Standard;n.a;1;Right H;1;105;55;108;58;120;80;no;no;;;;;;;;;;;;;;1.28;n.a;n.a;;#ffffff;03:02;rectangle;horizontal;3;200×200mm
Standard;n.a;1;Right H;2;105;150;108;153;120;80;no;no;;;;;;;;;;;;;;1.28;n.a;n.a;;#ffffff;03:02;rectangle;horizontal;3;200×200mm
Standard;n.a;1;Right V;1;60;100;63;103;80;107;no;no;;;;;;;;;;;;;;1.28;n.a;n.a;;#ffffff;80:107;rectangle;vertical;3;200×200mm
Standard;n.a;1;Right V;2;150;100;153;103;80;107;no;no;;;;;;;;;;;;;;1.28;n.a;n.a;;#ffffff;80:107;rectangle;vertical;3;200×200mm
Standard;n.a;2;Left H;1;95;55;98;58;120;80;no;no;;;;;;;;;;;;;;1.28;n.a;n.a;;#ffffff;03:02;rectangle;horizontal;3;200×200mm
Standard;n.a;2;Left H;2;95;145;98;148;120;80;no;no;;;;;;;;;;;;;;1.28;n.a;n.a;;#ffffff;03:02;rectangle;horizontal;3;200×200mm
Standard;n.a;2;Left V;1;50;130;53;133;80;107;no;no;;;;;;;;;;;;;;1.28;n.a;n.a;;#ffffff;80:107;rectangle;vertical;3;200×200mm
Standard;n.a;2;Left V;2;140;70;143;73;80;107;no;no;;;;;;;;;;;;;;1.28;n.a;n.a;;#ffffff;80:107;rectangle;vertical;3;200×200mm
Standard;n.a;2;Right H;1;105;100;108;103;150;100;no;no;;;;;;;;;;;;;;1.28;n.a;n.a;;#ffffff;03:02;rectangle;horizontal;3;200×200mm
Standard;n.a;2;Right V;1;105;100;108;103;120;160;no;no;;;;;;;;;;;;;;1.28;n.a;n.a;;#ffffff;03:04;rectangle;vertical;3;200×200mm
Standard;n.a;3;Left H;1;95;55;98;58;120;80;no;no;;;;;;;;;;;;;;1.28;n.a;n.a;;#ffffff;03:02;rectangle;horizontal;3;200×200mm
